PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (Mach), S_ref (ft^2)
0.840000, 34000.000000, 0.840000, 6000.000000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-62.249440, 522.115186, 0.000765 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Blasius Power Law 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
Fuselage,13327.415777, 245.067458, 12.569056,1.037187, Hoerner Streamlined Body,510440585.442241, 0.000000,0.001305, 1.000000,18.044568, 0.003007, 20.903893 
Join,1575.253119, 245.067458, 12.569056,1.037187, Hoerner Streamlined Body,510440585.442241, 0.000000,0.001305, 1.000000,0.000000, 0.000000, 0.000000 
Horizontal Stabilizer,1958.922600, 15.962440, 0.119856,1.252094, Hoerner,33247488.404670, 0.000000,0.002254, 1.000000,5.528850, 0.000921, 7.263461 
Vertical Stabilizer,1534.330541, 27.900708, 0.099918,1.205817, Hoerner,58113198.946943, 0.000000,0.002016, 1.000000,3.729733, 0.000622, 4.899893 
Wing,10567.564356, 31.979429, 0.119973,1.252376, Hoerner,66608591.845969, 0.000000,0.001962, 1.000000,25.961868, 0.004327, 34.107099 
[B] Nacelle,3237.194770, 20.336000, 3.241765,1.462464, Hoerner Streamlined Body,42356989.578216, 0.000000,0.002148, 1.000000,10.167202, 0.001695, 13.357042 

Excrescences, Type, Input
 EXCRES_0, % of CD_Geom, 20.000000, , , , , , , ,12.686444, 0.002114, 16.666667 

 , , , , , , , , , Geometry Sub-Total:, 61.299417, 0.010572, 80.531388 
 , , , , , , , , , Excrescence Sub-Total:, 12.686444, 0.002114, 16.666667 
 , , , , , , , , , Totals:, 73.985861, 0.012686, 97.198054 
